Product Name;Brand Name;Price;Rating;Reviews;Review Votes;Sentiment
ALCATEL OneTouch Idol 3 Global Unlocked 4G LTE Smartphone, 5.5 HD IPS Display, 16GB (GSM - US Warranty);Alcatel;129;5;Amazing phone! For $250 it compares if not out does my friends galaxy s6.;0;0
ALCATEL OneTouch Idol 3 Global Unlocked 4G LTE Smartphone, 5.5 HD IPS Display, 16GB (GSM - US Warranty);Alcatel;129;5;Excellent mid price phone. Has met all of my expectations. The screen and two front speakers are beyond great.;0;0
ALCATEL OneTouch Idol 3 Global Unlocked 4G LTE Smartphone, 5.5 HD IPS Display, 16GB (GSM - US Warranty);Alcatel;129;5;Excellent product. Friendly, versatile, fast, very good pictutes and what a sound! And charge very fast! I love it! The performance can get improved;0;0
"BrightSpot ALCATEL ONETOUCH FierceTM 2 7040T 5"" qHD Display Touch Screen 4G Capable Android 4.4 Powered By T-Mobile";Alcatel;59.99;5;EXELENT;0;0
"BrightSpot ALCATEL ONETOUCH FierceTM 2 7040T 5"" qHD Display Touch Screen 4G Capable Android 4.4 Powered By T-Mobile";Alcatel;59.99;5;good;0;0
"BrightSpot ALCATEL ONETOUCH FierceTM 2 7040T 5"" qHD Display Touch Screen 4G Capable Android 4.4 Powered By T-Mobile";Alcatel;59.99;5;good;0;0
"BrightSpot ALCATEL ONETOUCH FierceTM 2 7040T 5"" qHD Display Touch Screen 4G Capable Android 4.4 Powered By T-Mobile";Alcatel;59.99;1;The cellphone was locked, then even did not show the way to unlock it.The phone was a fake phone;0;0
ALCATEL OneTouch Idol 3 Global Unlocked 4G LTE Smartphone, 5.5 HD IPS Display, 16GB (GSM - US Warranty);Alcatel;129;5;"The Idol 3 smartphone is so thin and light that, despite its large 4.7"" diagonal screen, it doesn't feel any bulkier in my bluejeans pocket than my 5-year-old prior smartphone did, Great job.";0;0
"BrightSpot ALCATEL ONETOUCH FierceTM 2 7040T 5"" qHD Display Touch Screen 4G Capable Android 4.4 Powered By T-Mobile";Alcatel;59.99;1;This the worst phone I have Ever ORDERED !! it is always giving a error MSG saying what ever app your trying to open is not responding and when i contacted the seller with the issues that i was having with the phone he or she was such a prick and was like its not my problem !! DO NOT ORDER THIS PHONE FROM THIS SELLER EVERYTHING ABOUT THE PHONE AND SELLER IS FULL OF F***;0;0
ALCATEL OneTouch Idol 3 Global Unlocked 4G LTE Smartphone, 5.5 HD IPS Display, 16GB (GSM - US Warranty);Alcatel;129;4;Very good budget phone, love it.;0;0
